expName,subject_exp,noise,cue_n_label,abs_td_dist,bias_to_distr_corr,is_outlier
color_2,S10.color.2,high - low,First report,134.48,1.22738041125443,0.0
color_2,S10.color.2,high - high,First report,64.97,7.7577281990579,0.0
color_2,S10.color.2,low - high,First report,132.79,-4.75801067904887,0.0
color_2,S10.color.2,low - high,First report,160.72,3.44157854736052,0.0
color_2,S10.color.2,low - high,First report,42.86,-4.82260040858208,0.0
color_2,S10.color.2,low - high,First report,165.47,10.5275566059034,0.0
color_2,S10.color.2,high - low,First report,121.27,8.7481024556265,0.0
color_2,S10.color.2,low - high,First report,122.89,0.372458146590051,0.0
color_2,S10.color.2,low - high,First report,1.86000000000001,7.08894052179372,0.0
color_2,S10.color.2,high - low,First report,45.85,44.7500181649356,1.0
